name,description,averageRating,ratingCount,fiveStarRatings,fourStarRatings,recentChanges
Midatacredito - Suscriptores,"Midatacredito es la manera fácil de conocer, construir y administrar tu información crediticia para mejorar tus posibilidades financieras y protegerte contra el fraude por suplantación. Con un plan de suscripción activo podrás contar con los siguientes servicios: - Consulta ilimitada de tu Historia de Crédito para que confirmes que la información reportada por las entidades es correcta. - Conoce tu score o puntaje de Crédito en DataCrédito., - Análisis de tu Perfil de Crédito y los factores que lo impactan positiva y negativamente. - Consejos personalizados sobre cómo mejorar tu perfil. - Herramientas y recomendaciones para que puedas planear ahorro, gastos y deuda. - Alertas preventivas vía e-mail y celular, en caso de consultas sobre tu historia de crédito, apertura de nuevas cuentas a tu nombre y cualquier cambio que impacte tu historia de crédito como saldos en mora, respuesta a reclamos, entre otros. - Alerta al sistema financiero sobre situaciones que puedan poner en riesgo tu identidad. Midatacredito es una herramienta implementada por DataCredito para ayudarte a administrar, analizar y proteger de manera fácil, sencilla y rápida toda la información relacionada con tus finanzas personales.",2.9,128,52,7,[]
Gastos Diarios 2,"Gastos Diarios es una aplicación diseñada para organizar tus gastos y tus ingresos, registra por fecha tus movimientos de dinero y después revisa los totales diarios, mensuales o anuales en los reportes. Organizar tus gastos te permite tener un mejor control sobre tu dinero. • Registra tus ingresos y tus gastos, clasificalos por categoría. • Puedes modificar o eliminar los registros que hayas creado. • La aplicación te mostrara reportes agrupados por periodos, junto con tu saldo del periodo. • También puedes programar registros frecuentes, de esta manera la aplicación agregará por ti los movimientos que son repetitivos en periodos fijos. • Si lo requieres puedes proteger tu información con contraseña. • La aplicación te permite crear un respaldo de tu base de datos para restaurar tu información en caso de ser necesario. • Traducciones disponibles: español, inglés, portugués, alemán, francés, ruso, chino, italiano, ucraniano, indonesio. • Widget de 3x1 con el resumen del mes. • Reportes disponibles: diario, semanal, quincenal, mensual y anual. • Los reportes crean gráficas • Pantalla horizontal para tablets. • Elige el formato de moneda y el formato de fecha que se usa en tu país.",4.6,18288,13036,4238,[Versión 2.6.13]
Banco Caja Social Móvil,"Descargue la aplicación del Banco Caja Social y sea siempre el primero en la fila Con la aplicación del Banco Caja Social tendrá acceso las 24 horas del día a las transacciones en línea, desde cualquier lugar y sin necesidad de trasladarse, con la tranquilidad que le brindan nuestros altos estándares de calidad y seguridad. Son totalmente gratuitas excepto las transferencias interbancarias. A través de nuestra aplicación móvil usted podrá disfrutar de estos servicios: o Consultas o Pagos de productos propios y servicios públicos o Pago y recarga de celulares o Transferencias entre cuentas, entre productos propios y a otras entidades financieras o Avances de tarjeta de crédito o Uso de su crédito rotativo o Orden de no pago a cheques Novedades o Nuevo diseño y navegación. o Nueva publicidad rotativa. o Nueva manera encontrar de ubicar los puntos de atención. o Inclusión de filtro para ubicar los puntos de atención. o Nueva sección de novedades. o Nueva sección de promociones. o Nuevo módulo transaccional. o Nueva presentación de los productos. o Nueva iconografía. o Inclusión de nuevos menús. o Posibilidad de compartir el resultado de las transacciones por mensajería instantánea o por correo electrónico. Además, cuenta con un sistema de geolocalización que le ayudará a ubicar nuestras oficinas, cajeros automáticos y corresponsales bancarios, con sus respectivos horarios, de forma fácil y simple. Comuníquese con nosotros ingresando a la sección Contáctenos donde podrá registrar sus dudas, quejas, reclamos o sugerencias. Hágalo diferente. Banco Caja Social. Más Banco, Más Amigo.",3.6,4047,1836,663,"[¡Un amigo está donde lo necesita!, Banco Caja Social busca ofrecer a sus clientes la mejor experiencia de uso con nuestros canales transaccionales., En esta versión encontrará:, Inclusión de tres campos de datos de contacto que deberá diligenciar el cliente al escribirnos por las secciones de Contáctenos o de Defensor del Consumidor Financiero.]"
"Bolsa, Monedas y Commodities","Únase a la comunidad inversora que utiliza a diario la aplicación de INVESTING.com para manterse informada sobre la actualidad de los mercados financieros. La App financiera líder a nivel mundial para smartphones y tablets le ofrece cotizaciones en vivo de todos los instrumentos de inversión, incluyendo acciones, ETFs, bonos, commodities, monedas (Forex), futuros y Bitcoin. Nuestro Calendario Económico se actualiza al instante y de forma constante para ofrecerle todos los datos macroeconómicos y reportes corporativos que mueven al mercado. Cree y personalice su cartera para controlar sus posiciones. Utilice nuestras herramientas avanzadas de análisis técnico y nuestros gráficos en vivo, y consulte las noticias de último minuto, así como la sección de análisis y opinión. La aplicación de Investing.com dispone de todo lo necesario para saber lo que sucede en el mercado. ¿Por qué elegirnos? ? Tiempo real - Cotizaciones en tiempo real de más de 40.000 instrumentos financieros comercializados en más de 70 mercados de todo el mundo. ? Calendario Económico - Datos macroeconómicos globales que conocerá al instante de su publicación. ? Gráficos en vivo - Conozca los movimientos de precios de infinidad de instrumentos financieros. ? Portfolio - Cree su propio portfolio y personalícelo para consultar los instrumentos financieros que más le interesen. ? Noticias de último minuto - Alertas de los principales eventos económicos globales en el momento en el que se producen. ? Opinión y análisis - Lea los últimos artículos elaborados por los mejores expertos del sector. ? Análisis técnico - Señales en tiempo real gracias a nuestro sistema avanzado de indicadores técnicos, ideales para tradear. ? Mercados emergentes - Amplia cobertura también de las economías que no forman parte del G-10.",4.6,122677,88791,23839,"[* Obtenga datos de fondos de inversión y añada fondos a su cartera, * Visualice y seleccione las búsquedas más populares de otros usuarios, * Mejoras de GUI (interfaz gráfica de usuario), ¿Le han gustado nuestras últimas funciones? ¡Díganos lo que piensa!]"
Ahorro a la Mano,"Ahora con App Ahorro a la Mano cuentas con una nueva funcionalidad “Realizar pagos”, que te permite realizar tus pagos de una manera ágil y segura, desde cualquier lugar donde te encuentres. Guarda tus pagos como “Frecuentes” para que no tengas que realizar su búsqueda en tu próximo pago. Adicionalmente podrás: • Enviar dinero a otras cuentas Bancolombia. • Consultar el saldo y los movimientos de tu cuenta Ahorro a la Mano sin ningún costo desde tu celular. • Podrás visualizar el número completo de tu cuenta Ahorro a la Mano, si llegas a necesitarlo. • A través de la opción “Puntos de atención” puedes encontrar los Corresponsales Bancarios, Sucursales y Cajeros Automáticos, más cercanos. • Envía los comprobantes de tus transacciones realizadas por correo electrónico, para que tengas un mayor control. Recuerda que para ingresar a la aplicación debes estar registrado en Ahorro a la Mano. Si quieres más información, comunícate con nuestra Sucursal Telefónica al 01 8000912345.",4.1,3493,2193,564,"[¡Seguimos innovando para ti!, - A través de la opción ""Puntos de atención"" podrás acceder al nuevo buscador de Oficinas, Cajeros y Corresponsales Bancarios, realizando tus búsquedas de una manera más fácil., - Corrección de errores que mejoran la experiencia en la aplicación.]"
Make Money: Paypal Cash,"? THE BEST FREE APP TO MAKE FREE MONEY? Were you searching for: How to work from home ? How to make money ? How to make fast money ? Make Money: Paypal Cash answers all these questions. This app allows to earn real paypal money or cash by just breaking the egg. The amazing thing about this cash app is that you win $500 Paypal Cash for just breaking the egg. Earn cash anytime & anywhere! It is quick & fun way to make easy money! The more eggs you break the higher chance to win prizes. Prizes are declared every sunday morning. Why our app is different From existing Money Making Apps ? 1. This make money app allows you to win $500 paypal cash without any hastle with very minimum effort. 2. Click boosters to help you break egg quickly & guaranteed super fast payouts. 3. Minimal Ads What's the catch ? How are we able to pay you ? It's simple. Every draw we share portion of our advertising revenue with lucky winner. How Do I Make Money Online with real cash rewards ? 1. Tap on the egg to Break it. Use click boosters to break egg as soon as possible. 2. Then Enter your email address to participate in lucky draw. If you win we will contact you on the given email address. 3. More eggs you break the higher is the chance for you to win. Simple isn't it! DOWNLOAD NOW & START EARNING EASY CASH! ? la mejor aplicación de la libertad de hacer dinero gratis ? Buscabais: Cómo trabajar desde casa? Como hacer dinero ? ¿Cómo hacer dinero rápido? Hacer dinero: Pay Pal Efectivo responde a todas estas preguntas. Esta aplicación permite ganar dinero paypal real o efectivo con sólo romper el huevo. Lo más sorprendente de esta aplicación es efectivo que usted gana $ 500 Pay Pal Efectivo por sólo romper el huevo. Ganar dinero en efectivo en cualquier momento y en cualquier lugar! Es la manera rápida y divertida de hacer dinero fácil! Los más huevos que rompen la mayor oportunidad de ganar premios. Los premios se declaran cada domingo por la mañana. ¿Por qué nuestra aplicación es diferente de dinero que hace Aplicaciones existente? 1. Esta aplicación permite ganar dinero a ganar $ 500 en efectivo paypal sin ninguna buscabamos con un esfuerzo muy mínimo. 2. Haga clic en refuerzos para ayudar a romper el huevo de forma rápida y garantizada pagos súper rápidas. 3. Anuncios mínimos Cuál es el truco ? ¿Cómo somos capaces de pagar usted? Es sencillo. Cada sorteo compartimos parte de nuestra ingresos por publicidad con ganador. ¿Cómo hacer dinero en línea con premios en dinero real? 1. Pulse sobre el huevo para romperlo. Utilice clic refuerzos a romper los huevos tan pronto como sea posible. 2. A continuación, introduzca su dirección de correo electrónico para participar en el sorteo. Si gana nos pondremos en contacto en la dirección de correo electrónico determinada. 3. Más huevos se rompen mayor es la oportunidad para que usted gane. Simple no es! DESCARGAR AHORA y comienza a ganar dinero fácil!",4.4,17990,12335,2486,[Fixed some issues]
Sodexo Club Colombia,"Aplicación válida para Colombia. Sodexo permite de una manera sencilla y rápida acceder a la información de las diferentes tarjetas (Canasta, Canasta Plus, Gasolina, Marca, Premium), consultar su respectivo saldo, personalizar el color de su tarjeta, conocer los últimos movimientos de cada tarjeta, encontrar los puntos Sodexo cercanos a su ubicación y desplegarlos sobre el mapa. ""Version 2.0"" Rediseño de la aplicación brindando una navegabilidad nativa y una experiencia de usuario enriquecida. Registrar varias tarjetas pertenecientes al mismo usuario, para realizar este registro se deben ingresar los últimos seis dígitos de la tarjeta donde se validará si la tarjeta esta activa para este usuario. Por cada tarjeta seleccionada presenta los últimos cinco movimientos (Consumos, Cargas). Permiso para eliminar tarjetas inscritas. Listado de establecimientos visualizando los puntos donde se reciben tarjetas, que tipo (Canasta, Gasolina, Navidad, incentivos Etc.), Nombre y Dirección del establecimiento. Visualización de puntos en el mapa donde reciben tarjetas y listado de establecimientos realizando acercamiento en el mapa cuando selecciona un establecimiento en el listado. Filtro para preferencia de los establecimientos que se quieren visualizar. Aplicación Válida párr Colombia. Sodexo permite De Una Manera sencilla y Búsqueda rápida Acceder a la Información de las Diferentes Tarjetas (Canasta, Canasta Plus, Gasolina, Marca, Premium), saldo consultar su respectivo, Personalizar el color de de su Tarjeta, conocer LOS ULTIMOS MOVIMIENTOS DE Cada Tarjeta, Encontrar los puntos Sodexo Cercanos a Su ubicación y desplegarlos Sobre el mapa. ""Versión 2.0"" Rediseño de la Aplicación brindando Una navegabilidad nativa y Una experiencia de usuario enriquecida. Registrador Varias Tarjetas pertenecientes al Mismo usuario, párr Realizar this registro se Deben ingresar LOS ULTIMOS Seis digitos de la Tarjeta Donde se validará si la Tarjeta this activa párr este usuario. Por Cada Tarjeta Seleccionada Presenta LOS ULTIMOS cinco Movimientos (Consumos, Cargas). Permiso párrafo ELIMINAR Tarjetas inscritas. Listado de establecimientos visualizando los puntos Donde se reciben Tarjetas, tipo Que (Canasta, Gasolina, Navidad, Incentivos Etc.), Nombre y Dirección del Establecimiento. Visualizacion de puntos en el mapa Donde reciben Tarjetas y Listado de establecimientos Realizando acercamiento en el mapa CUANDO Selecciona un Establecimiento en el Listado. Filtro párrafo Preferencia de los establecimientos Que se Quieren visualizar.",2.8,1149,380,100,"[Rediseño de la aplicación., Registrar varias tarjetas pertenecientes al mismo usuario., Por cada tarjeta seleccionada presenta los últimos cinco movimientos (Consumos, Cargas)., Listado de establecimientos visualizando los puntos donde se reciben tarjetas, que tipo (Canasta, Gasolina, Navidad, incentivos Etc.), Nombre y Dirección del establecimiento., Visualización de puntos en el mapa donde reciben tarjetas y listado de establecimientos., Filtro para preferencia de los establecimientos.]"
PUC,"PUC: Plan Único de Cuentas, Aplicación en la cual se puede consultar todas las cuentas contables para Colombia, herramienta útil tanto para comerciantes, contadores o estudiantes. Opciones: Permite buscar por código o nombre, Ver detalle de la cuenta o subcuenta Posibilidad de agregar a favoritos un cuenta",4.4,1205,758,265,[Corrección de bugs]
Controlar Gastos,"La administración del dinero es siempre complicada y la mayor parte del tiempo te preguntas a dónde fue a parar todo tu dinero y en qué estás gastando tus ahorros. Con el fin de responder a estas preguntas, hemos creado una aplicación muy sencilla para la administración de gastos y que se centra en la calidad, simplicidad y facilidad de uso. Tu bienestar financiero depende de lo bien organizados que están tus gastos, pero también ayuda si estás controlando tus ingresos y presupuesto familiar. Administra tu dinero, controla tus gastos y organiza tus ahorros con facilidad aprovechando algunas de las grandiosas características que ofrece esta aplicación: Características principales: - aplicación para el Gestor de gastos e ingresos, fácil de usar e intuitiva - calendario en la pantalla principal con un rápido resumen mensual de gastos e ingresos - gráficos interactivos: útil para el análisis de tus gastos - calculadora integrada: realiza todos los cálculos necesarios sin salir de la aplicación - función para añadir imágenes: adjunta recibos o imágenes de productos comprados. Ayuda a identificar mejor tus gastos - resumen en la pantalla general sobre ingresos, gastos y saldo de cuenta - sección de gráficos con reportes personalizados por periodos, para monitorear y comparar - recordatorios personalizados para pagos / transacciones recurrentes - lista personalizable con categorías de gastos y de ingresos - vista por categorías: puedes ver tus transacciones agrupadas por categorías - protección con código PIN - monedas de todo el mundo: más de 100 monedas disponibles - formato personalizado de monedas, separador decimal - primer día de la semana personalizable (lunes o domingo) - función para el restablecimiento de datos Ya sea que eres un estudiante que busca mantener un mejor Gestor de su dinero o alguien que es responsable de organizar y administrar el presupuesto familiar, esta aplicación es la herramienta que te proporciona una mejor comprensión y te permite mejorar tu vida financiera. ¡Mucha suerte!",4.6,11558,7584,3169,"[- extended language support, - user experience improvements]"
Bancolombia App Personas,"Con esta aplicación podrás realizar transacciones, identificar los puntos de atención de Bancolombia, solicitar productos y documentos, simular créditos y estar informado sobre el mercado financiero. Copyright © 2017 Bancolombia S.A.",4.4,77389,51636,15606,"[Esta versión incluye:, - Mejoras en la funcionalidad de geolocalización., - Se realizan ajustes sobre la funcionalidad de selección de facturas., - Mejoras en algunos aspectos visuales y de contenido.]"
Porvenir,"Ahorra tiempo en tus consultas y operaciones con la APP de Porvenir de forma fácil y segura desde tu Smartphone. Consulta tus saldos, solicita tus extractos y Certificados. Descárgalos en tu Celular o recíbelos en tu correo electrónico en el momento que quieras y desde el lugar que quieras sin filas ni desplazamientos. Con la APP de Porvenir Descarga tu certificado de afiliación o historia laboral con tu número de identificación. Para consultar tus saldos, extractos y otros certificados, los puedes consultar ingresando el mismo usuario y clave registrado en el portal / zona transaccional / en la página web www.Porvenir.com.co Encuentra aquí: Consultas de saldos, solicitud de extractos y certificado de una manera sencilla: • Consulta los saldos resumidos de Pensiones Obligatorias, Pensiones Voluntarias y Cesantías. • Saldos detallados de Pensiones Obligatorias (multifondo), Pensiones Voluntarias (objetivos / alternativas), Cesantías (multiportafolio). • Solicita tus certificados de: Declaración de renta, Historia laboral, Pensiones Obligatorias afiliación y fecha, Certificados Cesantías afiliación y Certificados, Pensiones Voluntarias afiliación y saldo. • Solicita Extractos en Pensiones Obligatorias, Cesantías y Pensiones Voluntarias. • Solicita tu Certificado de afiliación sin necesidad de usuario y clave. • Solicita Certificado Historia sin necesidad de usuario y clave. • Contáctanos: Consulta nuestros Canales para comunicarte fácilmente con nosotros a través de nuestra red de Oficinas a nivel nacional o a través de la Linea Servicio al Cliente • Ubica la oficina más cercana a ti. • Además encuentra Información económica, tasas y tarifas de tus productos. Requisitos El usuario y la clave la obtienes a través del portal www.porvenir.com.co, haciendo clic sobre el botón “Registro o cambio de clave”. Para consultar saldos, certificados y extractos debes ser cliente de Porvenir.",3.7,158,87,15,[Ajuste icono]
